,date,county,state,fips,cases,deaths,county_fips_all,timestamp,cldCvrMin,cldCvrAvg,cldCvrMax,dewPtMin,dewPtAvg,dewPtMax,feelsLikeMin,feelsLikeAvg,feelsLikeMax,heatIndexMin,heatIndexAvg,heatIndexMax,mslPresMin,mslPresAvg,mslPresMax,precip,presTendMin,presTendAvg,presTendMax,radSolarMin,radSolarAvg,radSolarMax,radSolarTot,relHumMin,relHumAvg,relHumMax,sfcPresMin,sfcPresAvg,sfcPresMax,snowDepth,snowfall,spcHumMin,spcHumAvg,spcHumMax,tempMin,tempAvg,tempMax,windChillMin,windChillAvg,windChillMax,windDirAvg,windDir80mAvg,windDir100mAvg,windSpdMin,windSpdAvg,windSpdMax,windSpd80mMin,windSpd80mAvg,windSpd80mMax,windSpd100mMin,windSpd100mAvg,windSpd100mMax,wetBulbMin,wetBulbAvg,wetBulbMax
20,2020-02-13,Cook,Illinois,17031,2,0,17031,2020-02-13,0.0,49.5,100.0,-4.0,9.45,29.85,-9.4,4.1,30.65,2.0,14.600000000000001,31.25,1009.2,1021.45,1032.1,0.18,-0.45,0.9,1.65,0.0,160.0,611.35,3840.95,58.1,80.05,96.5,983.4,994.4,1004.6500000000001,2.3499999999999996,2.225,0.8,1.65,3.55,2.0,14.600000000000001,31.25,-9.4,4.1,30.65,325.0,325.0,327.0,1.6,8.350000000000001,13.95,2.9499999999999997,13.65,20.1,6.15,14.399999999999999,22.2,1.15,13.65,30.75
21,2020-02-14,Cook,Illinois,17031,2,0,17031,2020-02-14,0.0,9.0,42.0,-10.0,-3.8499999999999996,0.2,-15.05,-5.300000000000001,5.4,-4.55,5.1,14.7,1027.1999999999998,1032.5,1035.95,0.0,-1.1,-0.1,0.8,0.0,174.89999999999998,657.8,4198.9,48.95,66.80000000000001,78.4,1002.1,1006.3,1009.0,2.2,0.0,0.6,0.8,0.95,-4.55,5.1,14.7,-15.05,-5.300000000000001,5.4,229.5,222.0,223.5,3.45,5.8,8.35,4.3,9.75,17.5,4.75,10.2,19.049999999999997,-5.15,3.8,12.3
22,2020-02-15,Cook,Illinois,17031,2,0,17031,2020-02-15,0.0,32.0,94.5,2.55,17.0,23.5,-5.15,13.1,23.05,7.9,23.200000000000003,30.95,1016.8,1020.3,1026.85,0.015,-1.55,-0.4,0.5,0.0,110.5,441.9,2651.95,68.55000000000001,76.9,88.9,989.7,993.8,1001.3,1.95,0.135,1.1,2.1,2.7,7.9,23.200000000000003,30.95,-5.15,13.1,23.05,208.5,209.5,212.5,4.550000000000001,9.95,14.0,16.6,20.5,24.700000000000003,17.5,20.799999999999997,24.0,6.949999999999999,21.45,28.35
23,2020-02-16,Cook,Illinois,17031,2,0,17031,2020-02-16,0.0,6.0,30.5,18.15,23.2,27.75,15.95,28.65,40.0,19.95,30.55,40.3,1019.0,1020.5,1022.25,0.0,-0.8,0.1,0.7,0.0,160.9,603.8,3862.15,49.05,76.15,95.05,992.3499999999999,993.7,994.75,1.7,0.0,2.1500000000000004,2.7,3.25,19.95,30.55,40.3,15.95,28.65,40.0,242.0,304.0,319.5,0.05,2.25,4.699999999999999,0.7,7.85,20.450000000000003,0.8,6.800000000000001,16.35,19.4,28.1,34.9
24,2020-02-17,Cook,Illinois,17031,2,0,17031,2020-02-17,0.0,59.0,100.0,27.05,30.85,36.4,25.25,29.45,34.35,30.5,34.85,39.849999999999994,1009.5,1016.1500000000001,1020.3,0.095,-1.35,-0.5,0.25,0.0,127.69999999999999,550.0,3064.55,65.55,86.05,96.95,983.1500000000001,989.55,994.3,1.55,0.0,3.1500000000000004,3.7,4.6,30.5,34.85,39.849999999999994,25.25,29.45,34.35,133.5,130.5,133.5,1.5499999999999998,6.75,11.5,8.2,13.7,18.95,8.100000000000001,15.0,20.700000000000003,29.8,33.3,36.849999999999994
25,2020-02-18,Cook,Illinois,17031,2,0,17031,2020-02-18,0.0,53.0,100.0,14.95,25.75,36.8,13.9,24.200000000000003,31.4,22.6,32.5,37.7,1009.7,1021.25,1032.1,0.0,0.0,0.9,1.5,0.0,143.45,535.8,3441.9,57.5,76.5,96.85,983.25,994.3499999999999,1004.0,0.2,0.0,1.85,3.05,4.7,22.6,32.5,37.7,13.9,24.200000000000003,31.4,288.0,289.0,290.5,6.800000000000001,10.8,14.8,11.95,17.65,26.25,10.75,17.65,27.9,20.55,30.299999999999997,37.3
26,2020-02-19,Cook,Illinois,17031,2,0,17031,2020-02-19,0.0,11.0,41.0,1.2000000000000002,5.199999999999999,15.25,6.1,12.85,20.15,14.3,20.3,26.95,1032.15,1036.2,1038.55,0.0,-0.75,0.3,1.0,0.0,173.8,661.25,4171.25,36.65,52.6,77.35,1004.9,1008.9,1010.75,0.2,0.0,1.0,1.2,1.9,14.3,20.3,26.95,6.1,12.85,20.15,320.0,334.5,334.5,3.3,5.65,7.5,4.800000000000001,8.850000000000001,15.600000000000001,5.449999999999999,9.2,15.950000000000001,12.5,17.5,22.700000000000003
27,2020-02-20,Cook,Illinois,17031,2,0,17031,2020-02-20,0.0,2.0,15.0,-3.1500000000000004,-1.05,1.9500000000000002,-3.05,5.55,14.350000000000001,6.7,14.75,21.95,1037.15,1039.1,1041.25,0.0,-0.6,0.0,0.7,0.0,188.7,693.1,4528.0,35.95,50.15,64.05,1010.6500000000001,1012.1500000000001,1013.6500000000001,0.0,0.0,0.8,0.9,1.0,6.7,14.75,21.95,-3.05,5.55,14.350000000000001,321.0,322.0,324.0,3.9,6.3,9.05,7.1,10.149999999999999,15.7,7.800000000000001,10.850000000000001,16.700000000000003,5.35,12.3,18.4
28,2020-02-21,Cook,Illinois,17031,2,0,17031,2020-02-21,0.0,4.5,25.0,1.15,10.05,18.450000000000003,2.65,15.5,27.45,10.899999999999999,24.5,36.25,1025.6,1031.75,1036.95,0.0,-1.4,-0.5,0.35,0.0,185.10000000000002,676.2,4442.4,34.75,55.2,71.1,999.65,1005.5,1010.9,0.0,0.0,1.0,1.5,2.2,10.899999999999999,24.5,36.25,2.65,15.5,27.45,224.0,229.5,232.0,3.8,9.75,15.8,13.0,17.8,22.9,13.15,17.7,22.75,9.45,21.15,30.35
29,2020-02-22,Cook,Illinois,17031,2,0,17031,2020-02-22,0.0,3.5,40.5,16.15,22.35,28.35,18.85,31.049999999999997,44.599999999999994,26.700000000000003,37.75,49.55,1016.95,1021.2,1025.25,0.0,-1.1,-0.3,0.25,0.0,176.85,640.75,4245.700000000001,39.5,54.1,65.94999999999999,991.8,995.5,999.15,0.0,0.0,2.0,2.6500000000000004,3.3499999999999996,26.700000000000003,37.75,49.55,18.85,31.049999999999997,44.599999999999994,217.5,219.0,223.5,6.800000000000001,9.95,13.55,13.55,18.65,22.8,13.3,18.75,24.1,23.95,32.7,41.6
