Columbia,"46,821","47,688","49,473",,
Cook,"29,733","31,086","32,524",,
Coweta,"43,253","44,612","46,438",,
Crawford,"31,990","33,208","33,784",,
Crisp,"29,495","31,206","32,540",,
Dade,"32,265","33,720","35,640",,
Dawson,"42,386","43,455","45,201",,
Decatur,"33,932","35,252","36,150",,
DeKalb,"45,522","48,557","50,871",,
Dodge,"28,389","29,702","30,682",,
Dooly,"26,161","27,631","28,297",,
Dougherty,"33,743","34,354","34,744",,
Douglas,"33,168","33,855","35,230",,
Early,"37,001","37,889","38,945",,
Echols,"25,611","27,281","27,880",,
Effingham,"38,513","40,037","41,942",,
Elbert,"33,031","34,508","35,448",,
Emanuel,"30,104","32,066","32,187",,
Evans,"33,186","33,877","35,212",,
Fannin,"32,567","34,431","35,727",,
Fayette,"58,295","60,677","63,515",,
Floyd,"36,054","37,003","38,524",,
Forsyth,"59,451","60,227","62,580",,
Franklin,"34,213","35,508","36,672",,
Fulton,"75,987","80,683","84,386",,
Gilmer,"32,724","34,102","35,419",,
Glascock,"33,238","32,814","33,931",,
Glynn,"41,914","43,642","46,073",,
Gordon,"32,428","35,514","36,947",,
Grady,"31,138","33,524","34,899",,
Greene,"50,359","53,496","55,396",,
Gwinnett,"38,629","39,738","41,458",,
Habersham,"31,893","32,780","33,925",,
Hall,"39,946","41,856","43,701",,
Hancock,"27,046","28,261","29,917",,
Haralson,"33,941","35,121","36,508",,
Harris,"44,439","45,538","47,469",,
Hart,"34,264","36,219","38,125",,
Heard,"29,431","30,076","31,144",,
Henry,"36,748","37,619","39,184",,
Houston,"39,991","41,105","42,625",,
Irwin,"28,698","30,745","32,824",,
Jackson,"39,379","40,832","42,211",,
Jasper,"35,403","39,111","40,606",,
Jeff Davis,"28,567","28,671","29,943",,
Jefferson,"31,409","32,925","34,034",,
Jenkins,"28,179","28,005","29,250",,
Johnson,"24,388","24,822","26,195",,
Jones,"34,947","36,159","37,618",,
Lamar,"31,106","32,395","33,079",,
Lanier,"25,133","26,281","27,561",,
Laurens,"34,652","35,528","37,372",,
Lee,"43,544","45,415","47,258",,
Liberty,"33,183","34,163","35,805",,
Lincoln,"34,481","35,936","37,333",,
Long,"26,099","26,268","27,071",,
Lowndes,"34,869","35,817","37,443",,
Lumpkin,"34,628","35,288","37,427",,
McDuffie,"34,013","35,656","36,982",,
McIntosh,"28,014","28,377","29,519",,
Macon,"28,341","30,237","31,028",,
Madison,"33,761","35,261","36,557",,
Marion,"26,862","28,317","29,333",,
Meriwether,"32,739","33,285","34,847",,
Miller,"36,026","38,229","40,826",,
Mitchell,"32,307","33,964","35,069",,
Monroe,"41,767","43,106","44,790",,
Montgomery,"28,834","28,562","29,408",,
Morgan,"45,564","48,982","50,541",,
Murray,"28,105","28,986","29,968",,
Muscogee,"40,718","42,083","44,149",,
Newton,"31,601","32,456","33,750",,
Oconee,"60,296","64,194","66,740",,
Oglethorpe,"35,391","36,456","37,709",,
Paulding,"35,196","36,276","37,727",,
Peach,"35,668","37,173","38,066",,
Pickens,"44,457","45,890","47,887",,
Pierce,"33,494","34,908","36,065",,
Pike,"37,636","38,423","39,851",,
Polk,"30,779","31,150","32,368",,
Pulaski,"28,017","29,034","30,358",,
Putnam,"38,731","40,236","41,839",,
Quitman,"27,893","28,699","30,902",,
Rabun,"38,505","39,632","41,128",,
Randolph,"28,739","31,453","33,238",,
Richmond,"35,032","36,820","38,196",,
Rockdale,"33,440","33,842","35,244",,
Schley,"28,610","29,949","30,931",,
Screven,"31,699","33,079","35,010",,
Seminole,"38,009","39,963","40,217",,
Spalding,"32,904","33,422","34,772",,
Stephens,"36,908","37,831","38,915",,
Stewart,"21,153","21,665","22,771",,
Sumter,"32,738","34,522","35,847",,
Talbot,"32,396","33,643","34,504",,
Taliaferro,"32,218","32,719","33,927",,
Tattnall,"26,339","27,812","28,406",,
Taylor,"31,322","29,253","30,141",,
Telfair,"19,869","20,338","20,923",,
Terrell,"37,009","38,110","40,325",,
Thomas,"40,280","42,097","44,355",,
Tift,"35,361","36,148","37,805",,
Toombs,"33,720","33,992","35,517",,
Towns,"34,874","35,901","37,858",,
Treutlen,"28,097","29,216","30,119",,
Troup,"34,884","34,951","36,476",,
Turner,"31,706","33,212","34,396",,
Twiggs,"35,817","37,784","39,530",,
Union,"34,304","35,166","36,581",,
Upson,"33,478","33,922","35,133",,
Walker,"30,929","31,704","32,826",,
Walton,"37,355","39,022","40,458",,
Ware,"31,917","32,763","33,906",,
Warren,"32,297","33,231","34,598",,
Washington,"32,836","34,386","35,296",,
